id,merchant,nomor_telepon
228,Lotteria,0833582910069
229,Solaria,0833695268473
230,KFC,0833920517726
231,KFC,0833324337287
232,KFC,0833253497750
233,KFC,0833102055852
234,McDonalds,0833806417890
235,McDonalds,0833536798952
236,Nasgor Pocin,0833162149965
237,Solaria,0833794602885
238,Lotteria,0833854773556
239,McDonalds,0833232178296
240,McDonalds,0833331438326
241,Lotteria,0833900080208
242,KFC,0833191083616
243,Lotteria,0833292994884
244,Nasgor Pocin,0833469537134
245,Lotteria,0833579767864
246,KFC,0833745192051
247,Nasgor Pocin,0833760725056
248,Nasgor Pocin,0833173941993
249,McDonalds,0833817601468
250,Solaria,0833709023808
251,Lotteria,0833815905783
252,McDonalds,0833744919021
253,KFC,0833707523426
254,Nasgor Pocin,0833516385090
255,Solaria,0833630696397
256,Solaria,0833503710519
257,Lotteria,0833176658012
258,Lotteria,0833449056767
259,Lotteria,0833473424156
260,KFC,0833152119176
261,Nasgor Pocin,0833930854791
262,McDonalds,0833640267178
263,McDonalds,0833510642779
264,Nasgor Pocin,0833723947672
265,Lotteria,0833683226728
266,McDonalds,0833521936562
267,Solaria,0833385467006
268,Lotteria,0833070784618
269,Solaria,0833031690240
270,Lotteria,0833450424012
271,Solaria,0833729858888
272,Solaria,0833500258276
273,Solaria,0833205947675
274,KFC,0833061609349
275,Solaria,0833586126863
276,McDonalds,0833732838239
277,KFC,0833810157594
278,Solaria,0833722095302
279,KFC,0833434292188
280,McDonalds,0833754135663
281,Solaria,0833963889151
282,Solaria,0833774785841
283,McDonalds,0833423580346
284,Lotteria,0833819620437
285,KFC,0833580537470
286,Lotteria,0833690151108
287,McDonalds,0833392810472
288,Lotteria,0833279287397
289,Nasgor Pocin,0833475121748
290,Lotteria,0833477528396
291,McDonalds,0833941712593
292,Solaria,0833380204696
293,Nasgor Pocin,0833546011554
294,KFC,0833913609780
295,KFC,0833871424401
296,Lotteria,0833100408979
297,McDonalds,0833007065573
298,Lotteria,0833575414925
299,KFC,0833164119028
300,McDonalds,0833231533897
301,KFC,0833964144491
302,Nasgor Pocin,0833688038446
303,McDonalds,0833559301303
304,Nasgor Pocin,0833321908425
305,McDonalds,0833316167968
306,McDonalds,0833117827688
307,Solaria,0833159609319
308,KFC,0833384523696
309,Solaria,0833448309892
310,Lotteria,0833562798812
311,Solaria,0833765784418
312,Solaria,0833839963418
313,Nasgor Pocin,0833415212858
314,Lotteria,0833025505018
315,McDonalds,0833489316936
316,Solaria,0833032781279
317,Solaria,0833424119588
318,Nasgor Pocin,0833595795725
319,Solaria,0833794757185
320,KFC,0833598875016
321,McDonalds,0833523509358
322,Lotteria,0833621346790
323,Solaria,0833697849472
324,Solaria,0833710500961
325,Solaria,0833540674806
326,Nasgor Pocin,0833429603920
327,Lotteria,0833097721443
328,KFC,0833300933794
329,Lotteria,0833818784663
330,Solaria,0833910897883
331,Nasgor Pocin,0833284982029
332,McDonalds,0833476055802
333,Nasgor Pocin,0833678799518
334,McDonalds,0833730835010
335,Lotteria,0833123375227
336,McDonalds,0833489809633
337,Nasgor Pocin,0833760447555
338,McDonalds,0833968420101
339,KFC,0833170351141
340,Nasgor Pocin,0833078454302
341,Lotteria,0833725123371
342,KFC,0833927916102
343,KFC,0833868819816
344,Solaria,0833145837475
345,KFC,0833855640704
346,McDonalds,0833712728407
347,Lotteria,0833393981632
348,Nasgor Pocin,0833386060662
349,Solaria,0833995039197
350,Lotteria,0833849187111
351,KFC,0833993178126
352,Lotteria,0833552112565
353,McDonalds,0833319019493
354,Solaria,0833681058900
355,Nasgor Pocin,0833006803481
356,McDonalds,0833394121810
357,Lotteria,0833839326947
358,Lotteria,0833778509302
359,Nasgor Pocin,0833336805314
360,Solaria,0833462330728
361,McDonalds,0833760811451
362,Nasgor Pocin,0833905007595
363,KFC,0833704682725
364,Nasgor Pocin,0833723864377
365,KFC,0833626388908
366,McDonalds,0833998768293
367,Lotteria,0833229977545
368,KFC,0833620108066
369,KFC,0833342020079
370,KFC,0833080178645
371,Lotteria,0833922949564
372,Nasgor Pocin,0833349469269
373,Solaria,0833685902802
374,Nasgor Pocin,0833233432443
375,McDonalds,0833302412559
376,McDonalds,0833976864360
377,McDonalds,0833096218646
378,Lotteria,0833663389406
379,Lotteria,0833263215592
380,Lotteria,0833764452600
381,Lotteria,0833388508438
382,Lotteria,0833833144841
383,Solaria,0833276656365
384,McDonalds,0833509054566
385,Solaria,0833489368571
386,Solaria,0833836774080
387,McDonalds,0833020550569
388,Nasgor Pocin,0833565617332
389,Lotteria,0833378344420
390,Lotteria,0833610337677
391,KFC,0833731112742
392,Lotteria,0833069095247
393,McDonalds,0833369665489
394,Solaria,0833010586294
395,McDonalds,0833873086232
396,Solaria,0833796559659
397,KFC,0833792991493
398,KFC,0833329008701
399,KFC,0833304156118
400,Solaria,0833968951960
401,Lotteria,0833614372804
402,Solaria,0833607327712
403,McDonalds,0833295542729
404,McDonalds,0833743899111
405,Lotteria,0833241395220
406,McDonalds,0833461551491
407,Nasgor Pocin,0833519482211
408,Nasgor Pocin,0833430072912
409,Solaria,0833156670528
410,McDonalds,0833204025325
411,Solaria,0833870240991
412,KFC,0833862544226
413,Solaria,0833535011096
414,Nasgor Pocin,0833872250357
415,Lotteria,0833983198967
416,Nasgor Pocin,0833580311296
417,Nasgor Pocin,0833698375252
418,McDonalds,0833272518597
419,Nasgor Pocin,0833552235188
420,KFC,0833144991492
421,McDonalds,0833811124104
422,McDonalds,0833708153804
423,Solaria,0833314915841
424,Lotteria,0833576573691
425,Solaria,0833250764191
426,McDonalds,0833437062248
427,KFC,0833531356217
428,Nasgor Pocin,0833204855499
429,Solaria,0833052666039
430,Solaria,0833713012640
431,Nasgor Pocin,0833549968391
432,KFC,0833209379735
433,Nasgor Pocin,0833434180756
434,Nasgor Pocin,0833041642817
435,Nasgor Pocin,0833763773643
436,KFC,0833765832044
437,Nasgor Pocin,0833152157583
438,Solaria,0833960010324
439,KFC,0833272235120
440,Solaria,0833360583458
441,KFC,0833054466258
442,KFC,0833532174034
443,KFC,0833369595315
444,KFC,0833679850774
445,Lotteria,0833815086669
446,KFC,0833077842282
447,McDonalds,0833294580110
448,Lotteria,0833548432307
449,Nasgor Pocin,0833239424652
450,KFC,0833180079880
451,Lotteria,0833427829536
452,Lotteria,0833163351710
453,Solaria,0833700267336
454,KFC,0833202061963
455,KFC,0833463956073
456,McDonalds,0833830290210
457,McDonalds,0833235745016
458,KFC,0833870197605
459,KFC,0833350195095
460,Solaria,0833808667558
461,McDonalds,0833919595187
462,McDonalds,0833462564940
463,McDonalds,0833821161592
464,Solaria,0833609849835
465,Nasgor Pocin,0833308321510
466,Nasgor Pocin,0833357857490
467,Lotteria,0833634824160
468,McDonalds,0833010922578
469,Solaria,0833257018169
470,KFC,0833096570627
471,KFC,0833170533229
472,Lotteria,0833449998956
473,McDonalds,0833411530445
474,Nasgor Pocin,0833844438129
475,KFC,0833715497526
476,Solaria,0833004765221
477,Nasgor Pocin,0833728101053
478,Lotteria,0833413195028
479,McDonalds,0833357624868
480,Lotteria,0833818426867
481,KFC,0833116264234
482,Lotteria,0833136157586
483,KFC,0833934640650
484,McDonalds,0833492896163
485,McDonalds,0833654471643
486,McDonalds,0833403046840
487,McDonalds,0833870465682
488,KFC,0833159149071
489,Lotteria,0833760064439
490,Lotteria,0833188179476
491,Lotteria,0833929560548
492,KFC,0833680738179
493,McDonalds,0833776552365
494,KFC,0833290527677
495,Lotteria,0833313296928
496,Nasgor Pocin,0833263808241
497,KFC,0833461294618
498,Solaria,0833719083574
499,Solaria,0833374731631
500,Lotteria,0833275062380
501,Nasgor Pocin,0833996938825
502,KFC,0833221828595
503,Nasgor Pocin,0833931610265
504,Solaria,0833613875335
505,KFC,0833417515888
506,KFC,0833054879841
507,Nasgor Pocin,0833090018908
508,McDonalds,0833533379756
509,Solaria,0833629445072
510,McDonalds,0833637470181
511,Solaria,0833818041421
512,Nasgor Pocin,0833379865099
513,Solaria,0833021695601
514,Lotteria,0833958208395
515,Lotteria,0833650297768
516,McDonalds,0833843379372
517,McDonalds,0833633182710
518,KFC,0833985210547
519,KFC,0833355030648
520,KFC,0833653904870
521,Solaria,0833935739480
522,Solaria,0833027110979
523,Solaria,0833570835365
524,Nasgor Pocin,0833064571007
525,Solaria,0833324425370
526,McDonalds,0833100456192
527,Nasgor Pocin,0833409942285
528,Lotteria,0833162241857
529,KFC,0833989547223
530,Lotteria,0833512386515
531,Solaria,0833406925956
532,McDonalds,0833630932830
533,McDonalds,0833149374580
534,Lotteria,0833325538328
535,Lotteria,0833980153621
536,Lotteria,0833748136666
537,Solaria,0833695459082
538,McDonalds,0833826225482
539,Nasgor Pocin,0833819754131
540,Nasgor Pocin,0833862507445
541,Lotteria,0833301032148
542,Solaria,0833064584306
543,KFC,0833267527379
544,KFC,0833102408786
545,Solaria,0833638519111
546,Lotteria,0833532522018
547,KFC,0833185974722
548,Solaria,0833463895081
549,Solaria,0833602822533
550,Solaria,0833443987228
551,McDonalds,0833747871053
552,Nasgor Pocin,0833980867321
553,Nasgor Pocin,0833326769466
554,McDonalds,0833760832874
555,Solaria,0833692307993
556,McDonalds,0833425261482
557,Solaria,0833254204892
558,Nasgor Pocin,0833110356137
559,Solaria,0833286833122
560,McDonalds,0833515732098
561,Lotteria,0833785601427
562,Lotteria,0833647517019
563,Nasgor Pocin,0833039410454
564,Lotteria,0833135103287
565,McDonalds,0833837634042
566,Solaria,0833914178672
567,Nasgor Pocin,0833316916178
568,Lotteria,0833121414409
569,McDonalds,0833511569067
570,McDonalds,0833530456592
571,McDonalds,0833237160832
572,McDonalds,0833064198732
573,Lotteria,0833045677483
574,KFC,0833969674924
575,Lotteria,0833657100616
576,McDonalds,0833925056168
577,McDonalds,0833014106366
578,Nasgor Pocin,0833378691188
579,KFC,0833975307442
580,Solaria,0833924376455
581,Lotteria,0833843791373
582,McDonalds,0833953738713
583,McDonalds,0833606360806
584,Nasgor Pocin,0833832586210
585,McDonalds,0833404763091
586,Nasgor Pocin,0833792349209
587,Nasgor Pocin,0833027323224
588,Lotteria,0833223749645
589,Nasgor Pocin,0833896434416
590,McDonalds,0833866121659
591,Lotteria,0833790446889
592,Solaria,0833760443231
593,Solaria,0833505590020
594,McDonalds,0833187152286
595,Lotteria,0833683289869
596,Nasgor Pocin,0833343444142
597,Lotteria,0833641669087
598,KFC,0833844435110
599,KFC,0833638684139
600,KFC,0833287158146
601,KFC,0833606343633
602,McDonalds,0833048313492
603,Lotteria,0833187549229
604,Nasgor Pocin,0833565456119
605,Lotteria,0833038569075
606,KFC,0833215254335
607,KFC,0833965340087
608,KFC,0833852790316
609,KFC,0833902388157
610,KFC,0833961460636
611,McDonalds,0833466813868
612,Nasgor Pocin,0833481543516
613,Lotteria,0833740933924
614,Nasgor Pocin,0833747646055
615,KFC,0833426809672
616,Lotteria,0833310670613
617,KFC,0833461527112
618,McDonalds,0833670677208
619,McDonalds,0833709406569
620,Lotteria,0833572832337
621,Solaria,0833202078911
622,Lotteria,0833386535248
623,Lotteria,0833323844133
624,Nasgor Pocin,0833081132544
625,Nasgor Pocin,0833526663683
626,McDonalds,0833907867588
627,Nasgor Pocin,0833750275087
628,Lotteria,0833202796086
629,KFC,0833201481667
630,McDonalds,0833591865415
631,McDonalds,0833607435141
632,KFC,0833110813757
633,KFC,0833122436151
634,Lotteria,0833889379143
635,McDonalds,0833729193689
636,Solaria,0833840550557
637,Lotteria,0833814998737
638,Lotteria,0833618284770
639,McDonalds,0833810314579
640,Lotteria,0833460608475
641,Solaria,0833714882600
642,KFC,0833901057243
643,McDonalds,0833776952101
644,Solaria,0833839395178
645,Nasgor Pocin,0833792113209
646,Solaria,0833787839703
647,Solaria,0833361748332
648,Lotteria,0833018040297
649,KFC,0833949165993
650,KFC,0833216422246
651,Lotteria,0833249249465
652,McDonalds,0833813422301
653,KFC,0833704336271
654,McDonalds,0833051668165
655,Lotteria,0833811629644
656,Lotteria,0833154152015
657,McDonalds,0833399825710
658,Nasgor Pocin,0833349771338
659,Solaria,0833619193498
660,Lotteria,0833568096761
661,McDonalds,0833964632299
662,Lotteria,0833199703796
663,Nasgor Pocin,0833968064967
664,McDonalds,0833183408108
665,KFC,0833836468274
666,McDonalds,0833592906816
667,Nasgor Pocin,0833717242369
668,Lotteria,0833182782548
669,Nasgor Pocin,0833229859133
670,Lotteria,0833164520842
671,Lotteria,0833442761698
672,Lotteria,0833093205062
673,Nasgor Pocin,0833035846239
674,KFC,0833630047617
675,KFC,0833160553445
676,KFC,0833468873778
677,Lotteria,0833819331487
678,KFC,0833159969954
679,McDonalds,0833033172503
680,McDonalds,0833537112426
681,McDonalds,0833737253556
682,Nasgor Pocin,0833118871261
683,McDonalds,0833964065849
684,McDonalds,0833252170240
685,KFC,0833264300620
686,McDonalds,0833867545160
687,Nasgor Pocin,0833792003970
688,McDonalds,0833825541159
689,Nasgor Pocin,0833140559172
690,KFC,0833668247761
691,McDonalds,0833718600296
692,KFC,0833531531326
693,McDonalds,0833039148663
694,KFC,0833029590341
695,KFC,0833964626751
696,McDonalds,0833057806661
697,McDonalds,0833140725355
698,Nasgor Pocin,0833135433761
699,Lotteria,0833253572719
700,KFC,0833115227313
701,McDonalds,0833309390676
702,McDonalds,0833107057788
703,Solaria,0833727857529
704,McDonalds,0833543752355
705,McDonalds,0833805348668
706,Solaria,0833740834238
707,Nasgor Pocin,0833382930191
708,KFC,0833065025553
709,Lotteria,0833446621372
710,Solaria,0833383352617
711,KFC,0833996840950
712,Lotteria,0833375857169
713,KFC,0833670408344
714,KFC,0833142472831
715,McDonalds,0833072102084
716,Lotteria,0833850597598
717,Lotteria,0833570356076
718,Nasgor Pocin,0833688449038
719,Lotteria,0833168918209
720,Solaria,0833754618401
721,KFC,0833381392353
722,Nasgor Pocin,0833386272003
723,Solaria,0833329190125
724,KFC,0833923643186
725,Lotteria,0833406755631
726,Lotteria,0833508395341
727,McDonalds,0833454073205
728,Solaria,0833552563691
729,McDonalds,0833200454567
730,Lotteria,0833661173111
731,Nasgor Pocin,0833536196636
732,Nasgor Pocin,0833363505174
733,Nasgor Pocin,0833371035156
734,McDonalds,0833796884508
735,McDonalds,0833939972596
736,Nasgor Pocin,0833590670688
737,KFC,0833791719173
738,Solaria,0833385460297
739,KFC,0833311526490
740,McDonalds,0833150342621
741,KFC,0833795947902
742,McDonalds,0833866739819
743,Lotteria,0833255144527
744,Solaria,0833207059805
745,Lotteria,0833435355350
746,Nasgor Pocin,0833323421080
747,Nasgor Pocin,0833902502768
748,KFC,0833686333948
749,Nasgor Pocin,0833051376404
750,KFC,0833498815253
751,Solaria,0833482956658
752,KFC,0833924272063
753,Lotteria,0833353327025
754,Lotteria,0833552801543
755,Nasgor Pocin,0833525684226
756,Nasgor Pocin,0833568543034
757,Lotteria,0833294833551
758,Nasgor Pocin,0833656176079
759,Nasgor Pocin,0833551818903
760,Lotteria,0833328869304
761,McDonalds,0833816345830
762,Nasgor Pocin,0833047453374
763,Solaria,0833912536339
764,KFC,0833716119070
765,Solaria,0833132696737
766,Nasgor Pocin,0833535747426
767,Solaria,0833066593995
768,KFC,0833350467395
769,Lotteria,0833991983706
770,KFC,0833172558852
771,Nasgor Pocin,0833118129517
772,Nasgor Pocin,0833424668812
773,McDonalds,0833386272134
774,KFC,0833373415862
775,KFC,0833853500419
776,KFC,0833244123238
777,KFC,0833162007537
778,Nasgor Pocin,0833192095483
779,Lotteria,0833113511151
780,Solaria,0833685281741
781,McDonalds,0833557022539
782,Solaria,0833150031732
783,KFC,0833476367395
784,KFC,0833164394185
785,Solaria,0833732313437
786,Solaria,0833826329380
787,McDonalds,0833209664743
788,KFC,0833549594835
789,McDonalds,0833773035456
790,Nasgor Pocin,0833829365260
791,Nasgor Pocin,0833817464083
792,Lotteria,0833728272402
793,Lotteria,0833237391039
794,KFC,0833734277791
795,Solaria,0833704473668
796,KFC,0833404080017
797,KFC,0833527530642
798,KFC,0833169698446
799,KFC,0833177964500
800,Nasgor Pocin,0833071543190
801,Lotteria,0833571903965
802,Nasgor Pocin,0833632168319
803,Nasgor Pocin,0833736579109
804,Solaria,0833009126968
805,Lotteria,0833690790970
806,Nasgor Pocin,0833041088577
807,Solaria,0833585270066
808,Nasgor Pocin,0833376696875
809,KFC,0833541872398
810,Lotteria,0833890898212
811,McDonalds,0833462219843
812,Nasgor Pocin,0833366724523
813,Solaria,0833488588825
814,Solaria,0833521423890
815,KFC,0833744710969
816,Nasgor Pocin,0833091740805
817,Lotteria,0833987832325
818,Nasgor Pocin,0833772769183
819,Lotteria,0833354154287
820,Nasgor Pocin,0833684575650
821,KFC,0833427797019
822,Nasgor Pocin,0833262074337
823,Nasgor Pocin,0833154415218
824,Nasgor Pocin,0833424358847
825,KFC,0833796096026
826,KFC,0833542605201
827,KFC,0833816858954
828,Solaria,0833964078342
829,Nasgor Pocin,0833329502140
830,McDonalds,0833701486617
831,KFC,0833293776854
832,Nasgor Pocin,0833905519800
833,KFC,0833692721389
834,Solaria,0833084438768
835,Nasgor Pocin,0833594041384
836,Nasgor Pocin,0833273954126
837,Lotteria,0833171702061
838,Nasgor Pocin,0833298912275
839,Lotteria,0833650763682
840,KFC,0833921665161
841,Nasgor Pocin,0833037606709
842,McDonalds,0833343647720
843,KFC,0833078186110
844,Lotteria,0833768833634
845,Solaria,0833182784028
846,Lotteria,0833531798188
847,Lotteria,0833010258612
848,Lotteria,0833221254711
849,KFC,0833439287589
850,McDonalds,0833226120950
851,KFC,0833654719492
852,KFC,0833831214832
853,KFC,0833203870482
854,Lotteria,0833479391556
855,Lotteria,0833161146283
856,Nasgor Pocin,0833792273745
857,Solaria,0833347202684
858,Lotteria,0833254249972
859,Lotteria,0833087500188
860,Nasgor Pocin,0833928466769
861,Lotteria,0833590279638
862,Lotteria,0833027117522
863,Lotteria,0833323275652
864,Lotteria,0833588930920
865,McDonalds,0833642092430
866,Lotteria,0833797027784
867,Nasgor Pocin,0833337756466
868,Solaria,0833598812693
869,KFC,0833578503173
870,KFC,0833267195524
871,McDonalds,0833356245677
872,Nasgor Pocin,0833046592146
873,McDonalds,0833612232068
874,KFC,0833525902357
875,Nasgor Pocin,0833252684975
876,Nasgor Pocin,0833351529621
877,KFC,0833890926417
878,Nasgor Pocin,0833440951511
879,McDonalds,0833801792402
880,KFC,0833845732297
881,Nasgor Pocin,0833522973587
882,Solaria,0833033917083
883,Lotteria,0833050664476
884,KFC,0833786289116
885,Lotteria,0833651268326
886,McDonalds,0833444602165
887,Nasgor Pocin,0833844421560
888,Nasgor Pocin,0833104308569
889,Lotteria,0833055255779
890,Lotteria,0833667476316
891,McDonalds,0833856717810
892,McDonalds,0833341547347
893,McDonalds,0833679686072
894,Lotteria,0833408662301
895,Lotteria,0833306590858
896,KFC,0833458869118
897,McDonalds,0833971451501
898,McDonalds,0833530388752
899,KFC,0833648653210
900,KFC,0833668308902
901,KFC,0833615662380
902,McDonalds,0833480882359
903,Nasgor Pocin,0833366983511
904,KFC,0833235145497
905,McDonalds,0833471105938
906,Lotteria,0833225752431
907,McDonalds,0833272123692
908,Solaria,0833165027197
909,Lotteria,0833259310534
910,Solaria,0833584955011
911,KFC,0833991595900
912,McDonalds,0833574571805
913,Solaria,0833456112717
914,Solaria,0833659691912
915,KFC,0833493382828
916,McDonalds,0833056082881
917,KFC,0833618828618
918,Solaria,0833936804863
919,Lotteria,0833424199628
920,Solaria,0833749530247
921,Lotteria,0833372516126
922,Nasgor Pocin,0833617464956
923,KFC,0833323078362
924,Nasgor Pocin,0833211819752
925,Nasgor Pocin,0833675944262
926,Lotteria,0833418109943
927,Nasgor Pocin,0833931801103
928,Nasgor Pocin,0833412254838
929,Lotteria,0833735125671
930,Nasgor Pocin,0833780121333
931,Lotteria,0833583249927
932,Nasgor Pocin,0833039296166
933,Nasgor Pocin,0833847831159
934,Lotteria,0833358689163
935,McDonalds,0833234600286
936,Lotteria,0833947733748
937,Nasgor Pocin,0833998688842
938,Solaria,0833328222179
939,McDonalds,0833154088757
940,Solaria,0833732319268
941,Lotteria,0833917925714
942,McDonalds,0833535519782
943,Lotteria,0833466790284
944,Lotteria,0833384430450
945,Solaria,0833515879275
946,McDonalds,0833983266610
947,Solaria,0833087258417
948,Nasgor Pocin,0833664781348
949,McDonalds,0833642226605
950,McDonalds,0833242396039
951,KFC,0833665266242
952,McDonalds,0833863792454
953,KFC,0833399522385
954,Nasgor Pocin,0833112812168
955,Nasgor Pocin,0833173423286
956,Nasgor Pocin,0833907877601
957,Lotteria,0833819431396
958,Solaria,0833393040334
959,Solaria,0833706029852
960,KFC,0833379867167
961,Lotteria,0833790355291
962,Nasgor Pocin,0833065936693
963,Lotteria,0833765155901
964,Lotteria,0833136556326
965,Solaria,0833640888170
966,Solaria,0833585100822
967,Lotteria,0833753874150
968,Nasgor Pocin,0833199913473
969,Solaria,0833681961137
970,Lotteria,0833018778888
971,KFC,0833102292415
972,Lotteria,0833847406744
973,Solaria,0833256967343
974,McDonalds,0833437414852
975,Solaria,0833297330707
976,KFC,0833805175660
977,KFC,0833270589151
978,Nasgor Pocin,0833785708531
979,KFC,0833709782057
980,Solaria,0833548123030
981,Lotteria,0833255253080
982,KFC,0833630972661
983,Solaria,0833421287947
984,Solaria,0833233498345
