id,merchant,nomor_telepon
163,Solaria,0833873365588
164,KFC,0833516164686
165,Solaria,0833357956112
166,McDonalds,0833615219750
167,Solaria,0833450651666
168,Solaria,0833130471539
169,Solaria,0833233526450
170,Solaria,0833577469565
171,Solaria,0833825296212
172,McDonalds,0833232503699
173,KFC,0833596554631
174,McDonalds,0833173057181
175,McDonalds,0833846272080
176,KFC,0833376780913
177,KFC,0833495182144
178,Solaria,0833139988170
179,Solaria,0833074492733
180,KFC,0833275669688
181,McDonalds,0833123357782
182,KFC,0833034516765
183,McDonalds,0833979197917
184,McDonalds,0833125496347
185,McDonalds,0833316444308
186,McDonalds,0833561421276
187,McDonalds,0833647317746
188,McDonalds,0833319014386
189,McDonalds,0833093846525
190,McDonalds,0833866063539
191,Solaria,0833227001623
192,Solaria,0833557481279
193,Solaria,0833298744498
194,KFC,0833886185539
195,McDonalds,0833756760096
196,McDonalds,0833887822633
197,Solaria,0833021683079
198,KFC,0833589792450
199,Solaria,0833632695524
200,Solaria,0833554011645
201,KFC,0833734753786
202,KFC,0833677588462
203,McDonalds,0833547918833
204,Solaria,0833113043827
205,McDonalds,0833138810492
206,McDonalds,0833313557136
207,McDonalds,0833788469539
208,KFC,0833753829635
209,KFC,0833540591742
210,McDonalds,0833250414833
211,Solaria,0833088182476
212,Solaria,0833669385429
213,KFC,0833297278612
214,KFC,0833756306408
215,Solaria,0833026864374
216,Solaria,0833991919006
217,McDonalds,0833309494893
218,Solaria,0833001419001
219,McDonalds,0833268852301
220,Solaria,0833057681560
221,KFC,0833818013553
222,KFC,0833338931062
223,KFC,0833509160924
224,KFC,0833936193110
225,Solaria,0833706269421
226,KFC,0833414482127
227,Solaria,0833907524023
228,KFC,0833102341345
229,Solaria,0833272929631
230,McDonalds,0833948083289
231,Solaria,0833315482251
232,KFC,0833284506843
233,KFC,0833329355187
234,KFC,0833964364326
235,McDonalds,0833268764911
236,KFC,0833610664216
237,McDonalds,0833249691052
238,McDonalds,0833255624759
239,KFC,0833302927968
240,KFC,0833043301419
241,Solaria,0833012908701
242,McDonalds,0833754260594
243,McDonalds,0833484122099
244,KFC,0833258968783
245,KFC,0833381868938
246,McDonalds,0833986695892
247,Solaria,0833803650462
248,KFC,0833424164671
249,McDonalds,0833363534073
250,McDonalds,0833186982250
251,KFC,0833122959646
252,KFC,0833400873144
253,McDonalds,0833662623234
254,KFC,0833253567568
255,KFC,0833782799265
256,Solaria,0833517412192
257,Solaria,0833341791917
258,KFC,0833524183622
259,KFC,0833774827907
260,McDonalds,0833489460180
261,KFC,0833170218452
262,Solaria,0833077301253
263,Solaria,0833320676274
264,McDonalds,0833047250810
265,Solaria,0833270976896
266,Solaria,0833453432854
267,KFC,0833647619260
268,Solaria,0833839907263
269,KFC,0833791906508
270,KFC,0833051089939
271,McDonalds,0833914017225
272,Solaria,0833870886197
273,KFC,0833031565566
274,Solaria,0833975517446
275,Solaria,0833233817354
276,KFC,0833662260930
277,McDonalds,0833407445730
278,McDonalds,0833312540053
279,KFC,0833599193176
280,KFC,0833013080393
281,Solaria,0833728956326
282,KFC,0833406042145
283,Solaria,0833781964946
284,McDonalds,0833135833541
285,Solaria,0833152558605
286,Solaria,0833551464876
287,McDonalds,0833647245410
288,Solaria,0833668537063
289,Solaria,0833996899868
290,KFC,0833384532845
291,McDonalds,0833001009783
292,Solaria,0833330609160
293,KFC,0833422389562
294,KFC,0833654561229
295,Solaria,0833308123980
296,Solaria,0833514901418
297,McDonalds,0833289439158
298,McDonalds,0833342843761
299,McDonalds,0833537202470
300,McDonalds,0833626278870
301,KFC,0833640383421
302,McDonalds,0833291300063
303,Solaria,0833270594765
304,Solaria,0833655746998
305,McDonalds,0833923272696
306,KFC,0833790189429
307,KFC,0833941589005
308,KFC,0833040546578
309,Solaria,0833636262401
310,McDonalds,0833148183382
311,KFC,0833372668116
312,Solaria,0833529052309
313,McDonalds,0833205470788
314,KFC,0833268665811
315,Solaria,0833745120409
316,KFC,0833451203959
317,McDonalds,0833815998712
318,KFC,0833786267047
319,Solaria,0833601933711
320,KFC,0833737688122
321,McDonalds,0833066191260
322,McDonalds,0833313021479
323,McDonalds,0833800169166
324,KFC,0833533101998
325,Solaria,0833690219183
326,KFC,0833152440343
327,McDonalds,0833488234631
328,Solaria,0833185642318
329,Solaria,0833427135771
330,KFC,0833910399253
331,Solaria,0833556510259
332,McDonalds,0833039189295
333,Solaria,0833102347296
334,KFC,0833160423988
335,KFC,0833599555559
336,KFC,0833649788891
337,KFC,0833946921549
338,KFC,0833313181941
339,McDonalds,0833463763321
340,Solaria,0833531247964
341,KFC,0833269273936
342,Solaria,0833959380703
343,McDonalds,0833236830754
344,McDonalds,0833395615595
345,Solaria,0833850019369
346,KFC,0833162367014
347,Solaria,0833857495974
348,Solaria,0833014089570
349,Solaria,0833935261707
350,KFC,0833886210238
351,McDonalds,0833272012160
352,KFC,0833759534825
353,Solaria,0833967633384
354,KFC,0833835163675
355,McDonalds,0833552319240
356,Solaria,0833092044755
357,KFC,0833842825842
358,Solaria,0833068239310
359,Solaria,0833252047237
360,McDonalds,0833353026712
361,McDonalds,0833744076337
362,KFC,0833964860061
363,Solaria,0833564662719
364,Solaria,0833828072633
365,Solaria,0833462278080
366,KFC,0833890465089
367,McDonalds,0833954053796
368,Solaria,0833609125105
369,McDonalds,0833729663786
370,Solaria,0833496308344
371,McDonalds,0833061962205
372,Solaria,0833122607252
373,McDonalds,0833464062996
374,Solaria,0833575056922
375,Solaria,0833438005730
376,McDonalds,0833823015945
377,KFC,0833411079244
378,McDonalds,0833380867338
379,Solaria,0833503092913
380,McDonalds,0833121289713
381,McDonalds,0833401906013
382,KFC,0833889231237
383,KFC,0833611013636
384,KFC,0833517919906
385,McDonalds,0833196729550
386,McDonalds,0833606822122
387,Solaria,0833259375598
388,McDonalds,0833149444829
389,McDonalds,0833707266457
390,KFC,0833237681464
391,McDonalds,0833914676158
392,McDonalds,0833202379427
393,McDonalds,0833044508344
394,Solaria,0833728826035
395,Solaria,0833132656065
396,KFC,0833751496162
397,KFC,0833985025885
398,McDonalds,0833388929899
399,Solaria,0833065857492
400,KFC,0833314704456
401,Solaria,0833163545846
402,KFC,0833251223070
403,Solaria,0833618136605
404,Solaria,0833143923747
405,McDonalds,0833002962310
406,Solaria,0833316168831
407,Solaria,0833656897812
408,McDonalds,0833181277235
409,McDonalds,0833080898308
410,KFC,0833852637254
411,Solaria,0833503948962
412,McDonalds,0833805680254
413,Solaria,0833011567718
414,KFC,0833319237315
415,Solaria,0833144662893
416,McDonalds,0833770381709
417,Solaria,0833765763735
418,McDonalds,0833838913070
419,KFC,0833832020734
420,Solaria,0833839844347
421,McDonalds,0833168281141
422,McDonalds,0833354934846
423,McDonalds,0833164312183
424,Solaria,0833697598617
425,McDonalds,0833243231881
426,Solaria,0833021413199
427,McDonalds,0833586603353
428,Solaria,0833631029318
429,McDonalds,0833112396366
430,Solaria,0833005002434
431,Solaria,0833885610166
432,Solaria,0833100224543
433,KFC,0833128339953
434,Solaria,0833873751478
435,Solaria,0833066414967
436,Solaria,0833420421420
437,KFC,0833605356527
438,KFC,0833453224637
439,McDonalds,0833417946075
440,KFC,0833045193505
441,McDonalds,0833080730183
442,KFC,0833698639322
443,McDonalds,0833993215725
444,KFC,0833647728278
445,Solaria,0833481067232
446,Solaria,0833026366207
447,KFC,0833838553215
448,McDonalds,0833016572236
449,Solaria,0833641461718
450,McDonalds,0833646965953
451,KFC,0833950186134
452,Solaria,0833696940988
453,KFC,0833072966142
454,McDonalds,0833786458999
455,KFC,0833166064507
456,Solaria,0833911521246
457,Solaria,0833842814063
458,McDonalds,0833188588883
459,Solaria,0833027639492
460,McDonalds,0833104779466
461,Solaria,0833240417451
462,Solaria,0833209640386
463,McDonalds,0833629526225
464,McDonalds,0833667313395
465,KFC,0833052808020
466,McDonalds,0833316859486
467,McDonalds,0833751666526
468,McDonalds,0833139601837
469,KFC,0833958071577
470,KFC,0833396496481
471,Solaria,0833688071854
472,McDonalds,0833851482105
473,Solaria,0833122392220
474,KFC,0833323766749
475,Solaria,0833079907444
476,KFC,0833118187838
477,McDonalds,0833371963313
478,McDonalds,0833920609989
479,McDonalds,0833599974470
480,McDonalds,0833402295519
481,KFC,0833497629107
482,KFC,0833509698418
483,KFC,0833398086214
484,KFC,0833115062565
485,KFC,0833634491741
486,KFC,0833757878160
487,McDonalds,0833528428547
488,McDonalds,0833407271811
489,McDonalds,0833653707638
490,KFC,0833406890440
491,McDonalds,0833666995789
492,McDonalds,0833528671250
493,Solaria,0833363810496
494,McDonalds,0833975608994
495,Solaria,0833210565066
496,KFC,0833539907301
497,KFC,0833820255057
498,KFC,0833197815817
499,McDonalds,0833906716301
500,Solaria,0833675598946
501,Solaria,0833704895995
502,McDonalds,0833414188999
503,Solaria,0833000603973
504,Solaria,0833907389583
505,McDonalds,0833507421254
506,McDonalds,0833836835899
507,KFC,0833927077173
508,KFC,0833421943548
509,KFC,0833307332414
510,KFC,0833172037445
511,KFC,0833579106628
512,KFC,0833231851893
513,KFC,0833563152898
514,KFC,0833732209243
515,Solaria,0833265116838
516,KFC,0833399164290
517,McDonalds,0833204182363
518,KFC,0833763771728
519,KFC,0833954563441
520,McDonalds,0833183480193
521,Solaria,0833009685343
522,Solaria,0833906987250
523,Solaria,0833550133687
524,McDonalds,0833702852246
525,KFC,0833922211564
526,McDonalds,0833174411619
527,McDonalds,0833395695165
528,Solaria,0833186152591
529,McDonalds,0833041809261
530,KFC,0833676792864
531,McDonalds,0833757890174
532,McDonalds,0833324063166
533,KFC,0833990548707
534,KFC,0833290810112
535,KFC,0833397189323
536,McDonalds,0833475009691
537,Solaria,0833384105950
538,McDonalds,0833007473359
539,McDonalds,0833886351499
540,KFC,0833217856016
541,KFC,0833045678682
542,KFC,0833213422080
543,Solaria,0833860352071
544,KFC,0833243891291
545,Solaria,0833988192378
546,Solaria,0833312428227
547,McDonalds,0833097537915
548,McDonalds,0833767511505
549,McDonalds,0833366951503
550,McDonalds,0833090283703
551,Solaria,0833151786085
552,KFC,0833146372576
553,Solaria,0833591437389
554,McDonalds,0833440509374
555,KFC,0833571627649
556,McDonalds,0833666530644
557,Solaria,0833485074064
558,KFC,0833543305358
559,KFC,0833113414892
560,Solaria,0833167269798
561,KFC,0833649110386
562,McDonalds,0833154827799
563,KFC,0833689727274
564,McDonalds,0833189006906
565,KFC,0833948551603
566,McDonalds,0833089092400
567,KFC,0833811570684
568,McDonalds,0833339065194
569,Solaria,0833074095723
570,KFC,0833922883186
571,Solaria,0833845727219
572,KFC,0833517981663
573,Solaria,0833701141841
574,Solaria,0833868893789
575,KFC,0833110446920
576,KFC,0833800741022
577,KFC,0833311641997
578,McDonalds,0833156597670
579,Solaria,0833269239084
580,McDonalds,0833161768327
581,McDonalds,0833230078154
582,McDonalds,0833357646285
583,KFC,0833587179013
584,McDonalds,0833263692951
585,McDonalds,0833218507687
586,KFC,0833367715507
587,McDonalds,0833281439582
588,McDonalds,0833355939983
589,Solaria,0833740290603
590,Solaria,0833739504986
591,McDonalds,0833482211270
592,McDonalds,0833640598461
593,Solaria,0833546978354
594,Solaria,0833603828888
595,Solaria,0833484079611
596,KFC,0833491858009
597,Solaria,0833450870226
598,KFC,0833447308535
599,Solaria,0833586694781
600,Solaria,0833020083476
601,KFC,0833973434693
602,KFC,0833929958117
603,McDonalds,0833583873641
604,Solaria,0833824173748
605,KFC,0833514871608
606,Solaria,0833882547232
607,Solaria,0833178120702
608,Solaria,0833428303870
609,McDonalds,0833496668160
610,McDonalds,0833442733274
611,Solaria,0833938524730
612,KFC,0833318186175
613,KFC,0833385636461
614,KFC,0833603362580
615,KFC,0833159471803
616,McDonalds,0833936201092
617,KFC,0833204145360
618,KFC,0833898668690
619,McDonalds,0833754092629
620,McDonalds,0833389511853
621,McDonalds,0833547323340
622,McDonalds,0833486722319
623,KFC,0833632355120
624,KFC,0833253145817
625,McDonalds,0833959453576
626,KFC,0833023993250
627,Solaria,0833475179509
628,KFC,0833621241341
629,Solaria,0833694214290
630,KFC,0833012073701
631,McDonalds,0833198420631
632,Solaria,0833889697436
633,Solaria,0833931119625
634,Solaria,0833186583708
635,Solaria,0833156630994
636,McDonalds,0833842324717
637,KFC,0833114003876
638,Solaria,0833442709688
639,Solaria,0833794439491
640,Solaria,0833504028525
641,KFC,0833348035733
642,McDonalds,0833779338067
643,Solaria,0833735461902
644,Solaria,0833618821733
645,KFC,0833045745773
646,KFC,0833021607200
647,McDonalds,0833438140221
648,McDonalds,0833863813441
649,KFC,0833858602771
650,Solaria,0833189915255
651,McDonalds,0833122898363
652,KFC,0833828103641
653,Solaria,0833961158027
654,KFC,0833621545508
655,McDonalds,0833865674544
656,McDonalds,0833083804253
657,KFC,0833077505898
658,McDonalds,0833083379864
659,KFC,0833317005323
660,KFC,0833078405566
661,McDonalds,0833017851694
662,KFC,0833189463834
663,KFC,0833939972306
664,Solaria,0833527886281
665,Solaria,0833579469220
666,McDonalds,0833841458728
667,Solaria,0833254452214
668,KFC,0833646124450
669,Solaria,0833501631324
670,McDonalds,0833243515143
671,McDonalds,0833141312212
672,McDonalds,0833677742274
673,McDonalds,0833696635905
674,McDonalds,0833533085231
675,McDonalds,0833488304162
676,Solaria,0833615127489
677,Solaria,0833617247789
678,Solaria,0833223953609
679,McDonalds,0833958543117
680,KFC,0833549406438
681,Solaria,0833805312866
682,KFC,0833260161090
683,Solaria,0833339784905
684,Solaria,0833017712351
685,McDonalds,0833938083470
686,KFC,0833431369144
687,Solaria,0833617331817
688,McDonalds,0833435024529
689,Solaria,0833072317908
690,Solaria,0833865294115
691,Solaria,0833422041833
692,McDonalds,0833179834596
693,Solaria,0833830846219
694,McDonalds,0833964865925
695,Solaria,0833594483330
696,McDonalds,0833165205018
697,McDonalds,0833114460739
698,KFC,0833680819173
699,Solaria,0833269172352
700,Solaria,0833252806885
701,KFC,0833618257058
702,KFC,0833457282876
703,Solaria,0833184473538
704,McDonalds,0833848613691
705,Solaria,0833810616923
706,McDonalds,0833648366964
707,McDonalds,0833764735864
708,McDonalds,0833697550226
709,Solaria,0833210143700
710,Solaria,0833688669974
711,McDonalds,0833692832931
712,KFC,0833509204631
713,McDonalds,0833590667091
714,Solaria,0833321836065
715,McDonalds,0833132018897
716,McDonalds,0833450665422
717,Solaria,0833015956065
718,McDonalds,0833410494756
719,KFC,0833620336759
720,Solaria,0833901120083
721,Solaria,0833276700873
722,Solaria,0833517457819
723,Solaria,0833652407046
724,KFC,0833209506664
725,McDonalds,0833210426221
726,KFC,0833654499671
727,McDonalds,0833578074086
728,Solaria,0833553025015
729,McDonalds,0833437299604
730,Solaria,0833751331442
731,KFC,0833672697541
732,McDonalds,0833905541750
733,KFC,0833834158643
734,KFC,0833943017126
735,McDonalds,0833881035574
736,KFC,0833314429322
737,KFC,0833747350935
738,McDonalds,0833031586360
739,McDonalds,0833207449413
740,Solaria,0833141282169
741,McDonalds,0833747695591
742,McDonalds,0833915215655
743,McDonalds,0833927685506
744,KFC,0833163392758
745,KFC,0833041237172
746,McDonalds,0833375635698
747,McDonalds,0833085159458
748,McDonalds,0833858231022
749,McDonalds,0833378652820
750,McDonalds,0833808090547
751,KFC,0833781161587
752,KFC,0833401660482
753,KFC,0833974520346
754,McDonalds,0833405669900
755,KFC,0833974965996
756,Solaria,0833492781678
757,KFC,0833395374869
758,McDonalds,0833958592533
759,McDonalds,0833145377769
760,KFC,0833219407075
761,KFC,0833967667221
762,KFC,0833946576349
763,KFC,0833237967590
764,KFC,0833306544893
765,McDonalds,0833329949155
766,Solaria,0833841047100
767,KFC,0833507323544
768,Solaria,0833260254159
769,KFC,0833990157363
770,KFC,0833637881505
771,Solaria,0833527400850
772,KFC,0833755897369
773,KFC,0833623823522
774,Solaria,0833870820232
775,KFC,0833219195398
776,Solaria,0833034878440
777,McDonalds,0833530773519
778,Solaria,0833874702118
779,McDonalds,0833072469594
780,Solaria,0833237233853
781,McDonalds,0833174814604
782,KFC,0833705443839
783,McDonalds,0833093904494
784,Solaria,0833344671442
785,Solaria,0833174377469
786,McDonalds,0833402638740
787,Solaria,0833472766897
788,McDonalds,0833672968396
789,KFC,0833276272496
790,KFC,0833636146541
791,KFC,0833027453935
792,KFC,0833927095881
793,KFC,0833895504962
794,McDonalds,0833165469242
795,KFC,0833139644377
796,McDonalds,0833601059259
797,Solaria,0833519288249
798,McDonalds,0833824362455
799,Solaria,0833549356178
800,Solaria,0833872620465
801,Solaria,0833804209896
802,KFC,0833347702844
803,Solaria,0833001085365
804,McDonalds,0833883155101
805,McDonalds,0833388360971
806,KFC,0833884547465
807,Solaria,0833236993684
808,Solaria,0833277662415
809,McDonalds,0833463128142
810,Solaria,0833550682471
811,KFC,0833488699166
812,Solaria,0833059739500
813,KFC,0833856033714
814,KFC,0833366655942
815,KFC,0833178094528
816,KFC,0833811220855
817,Solaria,0833994547487
818,McDonalds,0833126949989
819,KFC,0833379983036
820,Solaria,0833318753552
821,KFC,0833307335480
822,KFC,0833064047577
823,Solaria,0833866606552
824,McDonalds,0833245194028
825,Solaria,0833625848500
826,KFC,0833832292270
827,Solaria,0833125192108
828,McDonalds,0833129713081
829,KFC,0833613115383
830,McDonalds,0833428643087
831,KFC,0833504859003
832,Solaria,0833695742406
833,McDonalds,0833503845713
834,Solaria,0833042421032
835,McDonalds,0833268958156
836,McDonalds,0833049273338
837,KFC,0833768761402
838,McDonalds,0833194694164
839,Solaria,0833118503155
840,KFC,0833374406096
841,McDonalds,0833586384779
842,McDonalds,0833185287478
843,KFC,0833232540383
844,Solaria,0833443135086
845,Solaria,0833120982201
846,Solaria,0833772833175
847,Solaria,0833499764110
848,Solaria,0833937629206
849,McDonalds,0833157595910
850,Solaria,0833872726125
851,KFC,0833682143329
852,McDonalds,0833715249929
853,Solaria,0833473814940
854,Solaria,0833766086876
855,KFC,0833197226767
856,McDonalds,0833170721540
857,Solaria,0833307685980
858,McDonalds,0833514211238
859,Solaria,0833704313722
860,Solaria,0833334502019
861,KFC,0833754539448
862,McDonalds,0833937820392
863,McDonalds,0833683559344
864,Solaria,0833102995544
865,McDonalds,0833062392780
866,Solaria,0833732488838
867,KFC,0833920535331
868,Solaria,0833400705183
869,Solaria,0833121910932
870,McDonalds,0833809117084
871,Solaria,0833052932436
872,KFC,0833938212311
873,KFC,0833697116063
874,McDonalds,0833164825389
875,McDonalds,0833634663900
876,KFC,0833219678625
877,Solaria,0833863568021
878,Solaria,0833544223193
879,KFC,0833758216973
880,McDonalds,0833378583227
881,McDonalds,0833380048843
882,Solaria,0833920282340
883,McDonalds,0833314636487
884,KFC,0833375839327
885,KFC,0833253807852
886,Solaria,0833282190889
887,KFC,0833656651430
888,McDonalds,0833994512999
889,Solaria,0833790844918
890,Solaria,0833050088601
891,McDonalds,0833116030521
892,Solaria,0833377499646
893,KFC,0833537453831
894,McDonalds,0833700188163
895,McDonalds,0833191579219
896,Solaria,0833307214889
897,McDonalds,0833015237676
898,McDonalds,0833410694677
899,McDonalds,0833398222374
900,Solaria,0833465290738
901,McDonalds,0833169917768
902,KFC,0833319815961
903,McDonalds,0833426647475
904,Solaria,0833252626780
905,McDonalds,0833273681886
906,KFC,0833490042130
907,KFC,0833596346094
908,McDonalds,0833242912616
909,McDonalds,0833660084445
910,KFC,0833124259645
911,KFC,0833334889075
912,KFC,0833432988221
913,Solaria,0833009291203
914,KFC,0833856908019
915,Solaria,0833598007153
916,Solaria,0833279529377
917,Solaria,0833804242834
918,KFC,0833249632113
919,Solaria,0833452267287
920,Solaria,0833954440700
921,Solaria,0833784134466
922,Solaria,0833312358738
923,McDonalds,0833224124459
924,McDonalds,0833960810712
925,McDonalds,0833275049159
926,McDonalds,0833987449885
927,McDonalds,0833823805836
928,KFC,0833745377490
929,Solaria,0833820885286
930,McDonalds,0833568965715
931,Solaria,0833312321378
932,McDonalds,0833017201912
933,Solaria,0833520169390
934,KFC,0833522355633
935,McDonalds,0833175554612
936,McDonalds,0833923803929
937,KFC,0833123291735
938,KFC,0833317871058
939,Solaria,0833920827895
940,McDonalds,0833676193579
941,KFC,0833461029490
942,McDonalds,0833261024355
943,Solaria,0833545658456
944,Solaria,0833347941798
945,McDonalds,0833529435398
946,KFC,0833438497868
947,KFC,0833276536606
948,KFC,0833379744695
949,Solaria,0833863073086
950,Solaria,0833563285431
951,McDonalds,0833746770587
952,McDonalds,0833973894350
953,KFC,0833189440567
954,Solaria,0833667780992
955,McDonalds,0833877258924
956,McDonalds,0833450783538
957,Solaria,0833733373027
958,McDonalds,0833940365985
959,KFC,0833801311730
960,KFC,0833342896213
961,McDonalds,0833978458514
962,McDonalds,0833948900730
963,KFC,0833406291801
964,Solaria,0833329280676
965,KFC,0833997209333
966,KFC,0833690644661
967,McDonalds,0833735614632
968,McDonalds,0833699102255
969,Solaria,0833543959895
970,KFC,0833821331942
971,McDonalds,0833570322597
972,McDonalds,0833470063822
973,KFC,0833525362959
974,KFC,0833407672507
975,McDonalds,0833666321674
976,KFC,0833612603518
977,KFC,0833353679769
978,Solaria,0833896010482
979,Solaria,0833398633216
980,Solaria,0833659619970
981,McDonalds,0833784316410
982,Solaria,0833103253074
983,Solaria,0833351425023
984,Solaria,0833963259108
985,McDonalds,0833402312551
986,McDonalds,0833710898628
987,McDonalds,0833867812314
988,KFC,0833937506354
989,Solaria,0833910409483
990,Solaria,0833483007035
991,KFC,0833079793320
992,KFC,0833501133824
993,KFC,0833657490326
994,McDonalds,0833157726648
995,KFC,0833854240578
996,KFC,0833410322303
997,McDonalds,0833984969511
998,McDonalds,0833821065150
999,McDonalds,0833808819815
1000,KFC,0833454250624
